candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,leaddock_applicability,external_evidence_closes_decision,disposition
"Exact normalized email/phone","identity fast path","current leaddock/domain.py and tests","Current exact-email duplicate test passes; no noisy-data result","Negligible","Implemented at 6cee9e6","Fast, deterministic, explainable, high precision for stable identifiers","Misses typos/changes/shared identifiers; normalization can false-merge","established local","Mandatory control and auto-match path","yes for exact path only","retain"
"RapidFuzz field rules","pair matching","https://github.com/rapidfuzz/RapidFuzz","No LeadDock result; mature similarity primitives","Low CPU; thin Python dependency","03a5137; active 2026-08-03; 31 open issues","Fast field similarities; interpretable thresholds","Threshold engineering and cluster transitivity remain local","established component","First fuzzy challenger for ambiguous candidates","no","experiment"
"Splink Fellegi-Sunter","blocking/pair/cluster","https://github.com/moj-analytical-services/splink; Splink evaluation docs","Published/runtime examples and evaluation tooling; no LeadDock result","DuckDB locally; optional larger SQL backends","f89da14; active 2026-08-04; 223 open issues","Probabilistic evidence, term-frequency adjustment, blocking, unsupervised training, cluster tooling","Assumes useful multi-field evidence; correlated fields and thresholds need care","established family","Preferred noisy structured identity challenger","no","experiment"
"Dedupe active-learning matcher","blocking/pair/cluster","https://github.com/dedupeio/dedupe","No LeadDock labels or local comparison","Human labels plus Python training/runtime","3f61e79; last push 2025-07-29; 90 open issues","Learns blocking and matching from targeted labels","Review/adjudication loop and representative labels required","established family","Conditional after labelled ambiguous pairs exist","yes against immediate adoption","defer"
"Python Record Linkage Toolkit","pair benchmark scaffold","https://github.com/J535D165/recordlinkage; https://recordlinkage.readthedocs.io/en/stable/ref-datasets.html","Includes generated FEBRL datasets and classical pipeline APIs","Low local CPU","b93d976; last push 2024-02-21; 64 open issues","Convenient FEBRL fixtures, indexing/comparison/classification baseline","Less current than Splink; dataset is synthetic and older","established but slower maintenance","Fixture/baseline source, not runtime winner","yes for dataset access","reference only"
"Ditto transformer matcher","deep pair matching","https://github.com/megagonlabs/ditto; https://arxiv.org/abs/2004.00584","Reported benchmark gains; WDC shows unseen-entity difficulty across modern matchers","Model download, training/serving and possible GPU cost","5298556; last push 2024-04-17; 26 open issues","Strong semantic/text matching research baseline","Old research stack; labels/compute; poor first fit for short structured leads","established research","Only if classical candidates fail on real semantic fields","yes against first adoption","defer"
"Fixed additive rules","lead policy control","current leaddock/domain.py and tests","Deterministic tier tests only; no outcome labels","Negligible","Implemented at 6cee9e6","Transparent and usable without labels","Not a probability; weights and tier thresholds are unvalidated","established policy baseline","Mandatory control","yes for transparency only","retain"
"LogisticRegression + calibration","lead propensity","https://github.com/scikit-learn/scikit-learn; probability-calibration guide","Official calibration procedures; no LeadDock labels/result","Low CPU for tabular data","7cb1868; active 2026-08-04; 2111 open issues","Interpretable baseline, probabilities, CV calibration and metrics in one stack","Needs temporal labels, disjoint calibration data and drift checks","established family","Preferred first learned scoring experiment","no","experiment"
"HistGradientBoosting/XGBoost","lead propensity challenger","scikit-learn; https://github.com/dmlc/xgboost","Broad tabular evidence; no LeadDock result","Moderate tuning; CPU adequate at portfolio scale","XGBoost 9922908; active 2026-08-04; 417 open issues","Captures nonlinear interactions","More tuning/explanation; probabilities may still need calibration","established family","One challenger only after logistic baseline","no","conditional experiment"
"Ranking model/top-k policy","capacity allocation","lead-ranking research; precision-at-capacity literature","No LeadDock labels/result","Depends on model; policy layer is cheap","No component selected","Targets scarce-review ordering directly","Scores need not be calibrated; logged feedback is selection-biased","established family","Evaluate top-k policy even for propensity models","yes for metric distinction","policy evaluation"
"Survival/time-to-conversion","lead outcome","survival-analysis literature","No LeadDock timestamps/censoring data","Moderate statistical workflow","No component selected","Models conversion timing and censoring","Requires time origin, censoring and sufficient events","established family","Only when time-to-event is the paid question","yes against current adoption","defer"
"Uplift/causal score","lead intervention","uplift-ranking literature","No randomized treatment/control evidence","High data/governance cost","No component selected","Targets incremental effect of contact","Propensity labels cannot identify causal lift","established family","Separate future experiment only with treatment evidence","yes against current adoption","defer"
"UCI Bank Marketing","scoring fixture","https://archive.ics.uci.edu/dataset/222/bank+marketing","45,211 examples; chronological source variants; explicit duration leakage warning","Small local CPU","Official maintained dataset page","Real tabular campaign outcome and class imbalance","2008-2010 outbound bank calls are not inbound B2B leads; duration unavailable before decision","established fixture with weak transfer","Calibration workflow only, never portfolio outcome proof","yes for limitations","fixture"
"First-fit greedy","booking control","current LocalCalendarAdapter","Collision/idempotency tests pass for one calendar","Negligible","Implemented at 6cee9e6","Simple, deterministic, low latency","Cannot optimize coupled staff/resource/fairness/rescheduling constraints","established local","Mandatory control","yes for simple region","retain"
"Bipartite/min-cost assignment","booking optimization","operations-research assignment family; OR-Tools graph algorithms","No LeadDock result","Low/moderate polynomial solve","Available in google/or-tools 98c165a","Good for independent lead-slot assignment with costs/capacity","Does not naturally express every interval/logical constraint","established family","Intermediate challenger if constraints remain assignment-shaped","yes for operating region","conditional"
